terms_combined_str,BiomarkKi-67,BiomarkesMSI1,BiomarkBraf,BiomarkKRAS,BiomarkNRAS,BiomarkesEGFR,BiomarkesALK,BiomarkesROS1,BiomarkesBRCA1_BRCA2,BiomarkHer,BiomarkesPD-L1,BiomarkProgesterone,Biomarkestrogen
{'Adenocarcinoma': ['Pancreatic Neoplasms']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Adenocarcinoma': ['Stomach Neoplasms', 'Esophageal Neoplasms']}",0,0,0,0,0,0,0,0,0,3,0,0,0
{'Adenocarcinoma': ['Stomach Neoplasms']},0,0,0,0,0,0,0,0,0,1,1,0,0
{'Adenocarcinoma': []},0,0,0,0,0,0,0,0,0,1,0,0,0
{'Anus Neoplasms': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Anxiety Disorders': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Biliary Tract Neoplasms': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Breast Neoplasms': ['Atrophy']},0,0,0,0,0,0,0,0,0,0,0,0,1
"{'Breast Neoplasms': ['Head and Neck Neoplasms', 'Cancer Pain', 'Wounds and Injuries']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Breast Neoplasms': ['Lymphedema', 'Breast Cancer Lymphedema']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Breast Neoplasms': ['Neoplasms']},0,0,0,0,0,0,0,0,0,1,0,0,0
"{'Breast Neoplasms': ['Neoplastic Cells, Circulating']}",0,0,0,0,0,0,0,0,0,1,0,0,0
"{'Breast Neoplasms': ['Peripheral Nervous System Diseases', 'Nervous System Diseases']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Breast Neoplasms': ['Recurrence']},0,0,0,0,0,0,0,0,0,1,1,0,0
{'Breast Neoplasms': ['Triple Negative Breast Neoplasms']},0,0,0,0,0,0,1,0,1,3,5,2,2
{'Breast Neoplasms': []},1,0,0,0,0,1,1,0,1,24,1,6,10
{'Cancer Pain': []},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Carcinoma': ['Carcinoma, Hepatocellular']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Carcinoma': ['Carcinoma, Renal Cell', 'Colorectal Neoplasms', 'Microsatellite Instability']}",0,1,0,0,0,0,0,0,0,0,1,0,0
"{'Carcinoma': ['Carcinoma, Renal Cell']}",0,0,0,0,0,0,0,0,0,0,1,0,0
"{'Carcinoma': ['Carcinoma, Squamous Cell', 'Head and Neck Neoplasms', 'Squamous Cell Carcinoma of Head and Neck', 'Papilloma']}",0,0,0,0,0,1,0,0,0,0,1,0,0
"{'Carcinoma': ['Carcinoma, Squamous Cell', 'Squamous Cell Carcinoma of Head and Neck']}",0,0,0,0,0,0,0,0,0,0,1,0,0
"{'Carcinoma': ['Carcinoma, Squamous Cell']}",0,0,0,0,0,0,0,0,0,0,2,0,0
"{'Carcinoma': ['Esophageal Squamous Cell Carcinoma', 'Esophageal Neoplasms']}",0,0,0,0,0,0,0,0,0,0,1,0,0
"{'Carcinoma': ['Lung Neoplasms', 'Neoplasms', 'Carcinoma, Non-Small-Cell Lung', 'Head and Neck Neoplasms']}",0,0,1,0,0,1,1,1,0,0,0,0,0
{'Carcinoma': ['Nasopharyngeal Carcinoma']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Carcinoma': ['Neoplasms', 'Small Cell Lung Carcinoma', 'Endometrial Neoplasms', 'Thyroid Neoplasms']}",0,1,0,0,0,0,0,0,0,0,1,0,0
"{'Carcinoma, Merkel Cell': ['Carcinoma']}",0,0,0,0,0,0,0,0,0,0,1,0,0
"{'Carcinoma, Non-Small-Cell Lung': ['Colorectal Neoplasms']}",0,0,0,1,0,0,0,0,0,0,0,0,0
"{'Carcinoma, Non-Small-Cell Lung': ['Lung Neoplasms']}",0,0,0,0,0,1,1,1,0,0,1,0,0
"{'Carcinoma, Non-Small-Cell Lung': ['Neoplasm Metastasis']}",0,0,1,1,0,1,1,1,0,1,1,0,0
"{'Carcinoma, Non-Small-Cell Lung': []}",0,0,2,0,0,5,3,4,0,0,2,0,0
"{'Carcinoma, Squamous Cell': ['Squamous Cell Carcinoma of Head and Neck', 'Head and Neck Neoplasms']}",0,0,0,0,0,0,0,0,0,0,2,0,0
"{'Carcinoma, Squamous Cell': ['Squamous Cell Carcinoma of Head and Neck', 'Neoplasms']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Cardiotoxicity': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Cardiovascular Diseases': ['Cardiotoxicity']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Cholangiocarcinoma': []},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Colonic Neoplasms': ['Thrombosis', 'Venous Thrombosis']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Colorectal Neoplasms': [""[{'term': 'Colorectal Neoplasms'}]"", 'Colorectal Neoplasms']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Colorectal Neoplasms': ['Microsatellite Instability']},0,1,0,0,0,0,0,0,0,0,0,0,0
{'Colorectal Neoplasms': []},0,0,0,0,0,0,0,0,0,1,0,0,0
