,nctId,briefTitle,conditions,studyType,phases,interventions,eligibilityCriteria,Tem ECOG,Tem KPS,Tem Lansky scores,ECOG_score,ecog_categoria,KPS_values,KPS_scores,KPS_ECOG,KPS_categoria,Lansky_scoress_values,Lansky_scores,Lansky_categoria,metastasis,Tem stage,Tipo_stages,Estagio_final,Estagio_Inicial,Extensao_tumor_locally_advanced,Extensao_tumor_unresectable,Extensao_tumor_metastatic,Extensao_tumor_Lesions,Extensao_tumor_metastases,Câncer de Mama Triplo Negativo,Tipo_Mama_Triplo_Negativo,BiomarkKi-67,Tipo_de_resultado_Ki67,Ki67_mine,Ki67_max,BiomarkesMSI1,Tipo_MSI,BiomarkBraf,Tipo_BRAF,BiomarkKRAS,BiomarkNRAS,BiomarkesEGFR,Tipo_EGFR,BiomarkesALK,Tipo_ALK,BiomarkesROS1,Tipo_ROS1,BiomarkesBRCA1_BRCA2,Tipo_BRCA1_BRCA2,BiomarkHer,Tipo_Her,BiomarkesPD-L1,Tipo_PD_L1,BiomarkProgesterone,tipo_progesterone,Biomarkestrogen,tipo_estrogen,Tipo_cancer
0,NCT04746924,A Study of Ociperlimab With Tislelizumab Compared to Pembrolizumab in Participants With Untreated Lung Cancer,"['Non-small Cell Lung Cancer', 'NSCLC']",INTERVENTIONAL,['PHASE3'],"[{'description': 'Tislelizumab is a monoclonal antibody formulated for intravenous injection.'}, {'description': 'Ociperlimab is a monoclonal antibody formulated for intravenous injection.'}, {'description': 'Pembrolizumab is a monoclonal antibody formulated for intravenous injection.'}, {'description': 'Placebo infusions will consist of a sterile, normal saline solution.'}]","Key Inclusion Criteria:

1. Histologically or cytologically documented locally advanced or recurrent non-small cell lung cancer (NSCLC) that is not eligible for curative surgery and/or definitive radiotherapy with or without chemoradiotherapy, or metastatic-nonsquamous or squamous NSCLC.
2. No prior systemic treatment for metastatic NSCLC.
3. Agreement to provide archival tissue or fresh biopsy (if archival tissue is not available).
4. Tumors with PD-L1 expressed in ≥ 50% tumor cells.
5. At least 1 measurable lesion as defined per RECIST v1.1.
6. ECOG ≤ 1.

Key Exclusion Criteria:

1. Known mutations in the EGFR gene, ALK fusion oncogene, BRAF V600E, or ROS1.
2. Prior therapy with an anti-programmed cell death protein (anti-PD)-1, anti-PD-ligand (L)-1, anti-PD-ligand-2, anti-T-cell immunoglobulin and ITIM (anti-TIGIT) domain, or any other antibody or drug specifically targeting T-cell costimulation or checkpoint pathways.
3. Active leptomeningeal disease or uncontrolled, untreated brain metastasis.
4. Active autoimmune diseases or history of autoimmune diseases that may relapse.

Note: Other protocol defined Inclusion/Exclusion criteria may apply",Sim, , ,"[0, 1]","['Fully active, able to carry on all pre-disease performance without restriction', 'Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office']",,[],[],[],,[],[],tem metastasis, ,[],tem Metastatic,,tem locally advanced|locally-advanced,,tem metastatic,,,False,, ,,[],[], ,,sim,,,,sim,mutado,sim,,sim,,,,,,sim,,,,,,Câncer de Pulmão
1,NCT06109779,Rilvegostomig + Chemotherapy as Adjuvant Therapy for Biliary Tract Cancer After Resection (ARTEMIDE-Biliary01),['Biliary Tract Cancer'],INTERVENTIONAL,['PHASE3'],"[{'description': 'Rilvegostomig IV (intravenous) Q3W'}, {'description': 'Placebo IV (intravenous) Q3W'}, {'description': 'Capecitabine (Oral) 1250 mg/m2 BID (twice daily) for 2 weeks on/1 week off in 21-day cycles or per local practice'}, {'description': 'Gemcitabine/Cisplatin IV (Intravenous) 1000 mg/m2 plus cisplatin 25 mg/m2 on Day 1 and Day 8 of each 21-day cycle'}, {'description': 'S-1 \\[Tegafur/Oteracil/gimeracil\\] (Oral) BSA (body surface area)-based (40, 50, or 60 mg) BID for 4 weeks on 2 weeks off in 42-day cycles'}]","Inclusion Criteria:

* Histologically confirmed adenocarcinoma of the biliary tract (intrahepatic or extrahepatic) after macroscopically complete resection (R0 or R1)
* Provision of a tumor sample collected at surgical resection.
* Randomization within 12 weeks after resection with adequate healing and removal of drains.
* Confirmed to be disease-free by imaging within 28 days prior to randomization.
* ECOG of 0 or 1

Exclusion Criteria:

* Participants with locally-advanced, unresectable, or metastatic disease at initial diagnosis.
* Ampullary cancer, neuroendocrine, mixed neuroendocrine and non-neuroendocrine neoplasms and nonepithelial tumors.
* Any anti-cancer therapy for BTC prior to surgery
* Active or prior documented autoimmune or inflammatory disorders or any severe or uncontrolled systemic disease
* Current or prior use of immunosuppressive medication within 14 days before the first dose
* Thromboembolic event within 3 months
* Active HBV or HCV infection unless treated.",Sim, , ,"[0, 1]","['Fully active, able to carry on all pre-disease performance without restriction', 'Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office']",,[],[],[],,[],[],, ,[],tem Metastatic,,tem locally advanced|locally-advanced,tem unresectable,tem metastatic,,,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Câncer do trato biliar
2,NCT05954702,Supercharged TRAM Evaluation in Cervical Esophagogastroplasty After Esophagectomy,"['Esophagus Cancer', 'Carcinoma Esophagus']",INTERVENTIONAL,['NA'],"[{'description': 'Esophagectomy, immediately followed by supercharged esophagogastroplasty. Use the transverse rectus abdominis myocutaneous (TRAM) flap transfers to surgically create a new anastomosis in the left gastroepiploic vessels.'}, {'description': 'Esophagectomy, immediately followed by an esophagus reconstruction trough esophagogastroplasty.'}]","Inclusion Criteria:

* Diagnosis of esophageal malignancy cancer;
* Ability to understand and collaborate during treatment;

Exclusion Criteria:

* Previous gastrectomy;
* Previous abdominal surgery with risk of altering stomach vascularization;
* Previous head and neck surgery with risk of alteration of cervical vessels.", , , ,[],[],,[],[],[],,[],[],, ,[],,,,,,,,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Câncer de Esôfago
3,NCT05254743,A Study of Pirtobrutinib (LOXO-305) Versus Ibrutinib in Participants With Chronic Lymphocytic Leukemia (CLL)/Small Lymphocytic Lymphoma (SLL),"['Chronic Lymphocytic Leukemia', 'Leukemia, Lymphocytic', 'Leukemia, B-cell', 'Small Lymphocytic Lymphoma']",INTERVENTIONAL,['PHASE3'],"[{'description': 'Administered orally.'}, {'description': 'Administered orally.'}]","Inclusion Criteria:

* Confirmed diagnosis of CLL/SLL requiring therapy per iwCLL 2018 criteria
* ECOG 0-2
* Adequate organ function

  * Platelets > or equal to (≥)50 x 10⁹/liter (L) or ≥30 x 10⁹/L in participants with documented bone marrow involvement considered to impair hematopoiesis,
  * Hemoglobin ≥8 grams/deciliter (g/dL) or ≥6 g/dL in participants with documented bone marrow involvement considered to impair hematopoiesis
  * Absolute neutrophil count ≥0.75 x 10⁹/L or ≥0.50 × 10⁹/L in participants with documented bone marrow involvement considered to impair hematopoiesis
  * Kidney function: Estimated creatinine clearance ≥30 milliliters per minute (mL/min)

Exclusion Criteria:

* Known or suspected Richter's transformation to diffuse large B-cell lymphoma (DLBCL), prolymphocytic leukemia, or Hodgkin's lymphoma at any time preceding enrollment
* Known or suspected central nervous system (CNS) involvement
* A significant history of renal, neurologic, psychiatric, endocrine, metabolic or immunologic disease
* Active uncontrolled auto-immune cytopenia (e.g., autoimmune hemolytic anemia \[AIHA\], idiopathic thrombocytopenic purpura \[ITP\])
* Significant cardiovascular disease including ejection fraction \< 40% and any grade ongoing atrial fibrillation or atrial flutter
* Hepatitis B or hepatitis C testing indicating active/ongoing infection, based on Screening laboratory tests
* Active cytomegalovirus (CMV) infection
* Active uncontrolled systemic bacterial, viral, or fungal infection
* Known human immunodeficiency virus (HIV) infection, regardless of cluster of differentiation 4 (CD4) count
* Clinically significant active malabsorption syndrome or other condition likely to affect GI absorption of the oral-administered study treatments
* Ongoing inflammatory bowel disease
* Prior exposure to BTK inhibitor (covalent or noncovalent)
* Concurrent use of investigational agent or anticancer therapy except hormonal therapy
* Participants requiring therapeutic anticoagulation with warfarin or another Vitamin K antagonist
* Use of ≥ 20 mg prednisone daily or equivalent dose of steroid at the time of first dose of study drug
* Vaccination with a live vaccine within 28 days prior to randomization
* Participants receiving chronic therapy with a strong cytochrome P450 (CYP)3A inhibitor (except posaconazole and voriconazole) which cannot be stopped within 3-5 half lives of the CYP3A inhibitor therapy prior to start of study drug treatment
* Participants with known hypersensitivity, including anaphylaxis, to any component or excipient of pirtobrutinib or ibrutinib",Sim, , ,"[0, 1, 2]","['Fully active, able to carry on all pre-disease performance without restriction', 'Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office', 'Ambulatory and capable of all selfcare but unable to carry out any work activities. Up and about more than 50% of waking hours']",,[],[],[],,[],[],, ,[],,,,,,,,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Linfoma
4,NCT05257408,"Relacorilant in Combination With Nab-Paclitaxel in Advanced, Platinum-Resistant, High-Grade Epithelial Ovarian, Primary Peritoneal, or Fallopian-Tube Cancer","['Ovarian Neoplasm', 'Fallopian Tube Neoplasms', 'Peritoneal Neoplasms']",INTERVENTIONAL,['PHASE3'],"[{'description': 'Nab-paclitaxel is administered as intravenous (IV) infusion over 30-40 minutes on Days 1, 8, and 15 of each 28-day cycle.'}, {'description': 'Relacorilant is administered as capsules for oral dosing.'}, {'description': 'Nab-paclitaxel is administered as IV infusion on Day 1, 8, and 15 of each 28-day cycle.'}]","Inclusion Criteria:

* Signed and dated Institutional Review Board/Independent Ethics Committee-approved informed consent form prior to study-specific screening procedures.
* Confirmed histologic diagnosis of high-grade (Grade 3) serous, epithelial ovarian, primary peritoneal, or fallopian tube carcinoma.
* Patients must have platinum-resistant disease (defined as RECIST v1.1 defined progression \<6 months from completion of a platinum-containing therapy).
* Must consent to provide archival tumor-tissue block or slides. Patients may consent to an optional tumor biopsy if archival tumor is unavailable.
* Has a life expectancy of ≥3 months.
* At least one lesion that meets the definition of measurable disease by RECIST v1.1
* ECOG 0 or 1.
* Able to comply with protocol requirements.
* Able to swallow and retain oral medication and does not have uncontrolled emesis.
* Received at least 1 but ≤3 lines of prior systemic anticancer therapy and at least 1 prior line of platinum therapy and prior treatment with bevacizumab is required.
* Has adequate organ function meeting the following laboratory-test criteria: Absolute neutrophil count (ANC) ≥1500 cells/mm\^3, Platelet count ≥100,000/mm\^3, Hemoglobin ≥9 g/dL, Aspartate aminotransferase (AST) or alanine aminotransferase (ALT) ≤2.5 × upper limit of normal (ULN), or ≤5 × ULN in context of liver metastases, Total bilirubin ≤1.5 × ULN, and Albumin ≥3 g/dL, and creatinine clearance \>40 mL/min/1.73 m\^2 (measured or estimated).
* Negative pregnancy test for patients of childbearing potential; patients of childbearing potential must agree to use highly effective contraceptive method(s); hormonal contraceptives are not allowed.
* Coronavirus disease (COVID-19) approved vaccines are accepted concomitant medications when recommended by the Investigator.

Exclusion Criteria:

* Has clinically relevant toxicity from prior systemic anticancer therapies or radiotherapy that has not resolved to ≤Grade 1 prior to randomization.
* Has had any major surgery within 4 weeks prior to randomization.
* Has low-grade endometrioid, clear cell, mucinous, or sarcomatous histology, or mixed tumors containing any of these histologies, or low-grade or borderline ovarian tumor.
* Has primary platinum-refractory disease, defined as disease that did not respond to or has progressed ≤1 month of the last dose of first-line platinum-containing chemotherapy.
* Has not received prior bevacizumab treatment.
* Has been treated with the following prior to randomization: chemotherapy, immunotherapy, investigational agent treatments for disease under study within 28 days before first dose of study drug, radiotherapy not completed at least 2 weeks prior to first dose of study drug, hormonal anticancer therapies within 7 days of first dose of study drug, and systemic, inhaled, or prescription strength topical corticosteroids within 21 days of first dose of study drug.
* Has received wide-field radiation to more than 25% of marrow-bearing areas.
* Has toxicities of prior therapies that have not resolved the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (NCI-CTCAE) v5.0, ≤Grade 1.
* Requires treatment with chronic or frequently used oral corticosteroids for medical conditions or illnesses.
* Has a history of severe hypersensitivity or severe reaction to any of the study drugs.
* Is receiving concurrent treatment with mifepristone or other glucocorticoid receptor (GR) modulators.
* Has peripheral neuropathy from any cause \>Grade 1.
* Pregnant or lactating patients or patients expecting to conceive children within the projected duration of the trial, starting with the screening visit through at least 1 month after the last dose of relacorilant, or 6 months after the last dose of nab-paclitaxel whichever is the longest.
* Has clinically significant uncontrolled condition(s) or condition which, in the opinion of the Investigator, may confound the results of the trial or interfere with the patient's safety or participation.
* Has current chronic/active infection with human immunodeficiency virus or current chronic/active infection with hepatitis C virus or hepatitis B virus.
* Has any untreated or symptomatic central nervous system (CNS) metastases.
* Patients with a history of other malignancy within 3 years prior to randomization
* Is taking a concomitant medication that is a strong cytochrome P450 (CYP)3A inhibitor or strong CYP3A inducer, or that is a substrate of CYP3A with a narrow therapeutic window.
* Concurrent treatment on other investigational treatment studies for the treatment of ovarian, fallopian tube, or primary peritoneal cancer.
* Has received a live vaccine within 30 days of prior to the study start date.",Sim, , ,"[0, 1]","['Fully active, able to carry on all pre-disease performance without restriction', 'Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office']",,[],[],[],,[],[],, ,[],,,,,,,tem metastases,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Câncer
5,NCT05663723,Photobiomodulation for Prevention of Chemotherapy-induced Peripheral Neuropathy in Women With Breast Cancer,['Peripheral Nervous System Diseases AND Breast Neoplasms'],INTERVENTIONAL,['NA'],"[{'description': 'Applications of the LED board will be performed daily for 20 minutes on each extremity (foot soles), until the last day of chemotherapy treatment. The sequential LED treatments will be administered by the Sportllux Ultra model (Cosmedical) in a predefined cycle, with the combination of light emitters in two wavelengths: 42 red (660nm) and 42 infrared (850nm); LED blanket in the size of 10x12 cm; average power of each LED: 5mW; operating mode: continuous; polarization: random; irradiance at the opening of each LED: 25mW/cm2; opening diameter of each LED: 10mm; application time: 1 session of 20 minutes; power per LED: 30mW; radiant exposure: 36J/cm2 during 20 minutes of application. Tissue from the lower limb extremities will come into contact with the LED panel during treatment to ensure even delivery of photobiomodulation. The panels are large enough to more than cover the entire edge area at one time during application.'}, {'description': 'Applications of the LED board will be performed daily for 20 minutes on each extremity (foot soles), until the last day of chemotherapy treatment. The sequential LED treatments will be administered by the Sportllux Ultra model (Cosmedical) in a predefined cycle, with the combination of light emitters in three wavelengths: 18 red (660nm), 18 infrared (850nm) and 36 violet (420nm). ); LED blanket in the size of 10x12 cm; average power of each LED: 5mW; operating mode: continuous; polarization: random; irradiance at the opening of each LED: 25mW/cm2; opening diameter of each LED: 10mm; application time: 1 session of 20 minutes; power per LED: 30mW; radiant exposure: 36J/cm2 during 20 minutes of application. Tissue from the lower limb extremities will come into contact with the LED panel during treatment to ensure even delivery of photobiomodulation. The panels are large enough to more than cover the entire edge area at one time during application.'}, {'description': 'Applications of the LED board will be performed daily for 20 minutes on each extremity (foot soles), until the last day of chemotherapy treatment. The sequential LED treatments will be administered by the Sportllux Ultra (Cosmedical) model without the light emitting combination. LED blanket in the size of 10x12 cm and application time: 1 session of 20 minutes. Tissue from the lower limb extremities will come into contact with the LED panel during treatment to ensure even delivery of photobiomodulation. The panels are large enough to more than cover the entire edge area at one time during application.'}]","Inclusion Criteria:

* Women aged over 18 years, with breast cancer in stages I to IIIC and who have an indication for curative treatment with neoadjuvant or adjuvant chemotherapy in HCIII/INCA.

Exclusion Criteria:

* Patients with a previous diagnosis of another primary cancer
* Patients undergoing surgery and/or chemotherapy at another Institution
* Patients who previously had altered sensitivity in the feet
* Patients who are unable to respond to questionnaires
* Patients unable to receive photobiomodulation due to acute lower limb infections", , , ,[],[],,[],[],[],,[],[],,Sim,"['I', 'IIIC']",,,,,,,,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Câncer de mama
6,NCT02952508,Study of Iopofosine I 131 (CLR 131) in Select B-Cell Malignancies (CLOVER-1) and Pivotal Expansion in Waldenstrom Macroglobulinemia,"['Waldenstrom Macroglobulinemia', 'Multiple Myeloma', 'Chronic Lymphocytic Leukemia', 'Small Lymphocytic Lymphoma', 'Lymphoplasmacytic Lymphoma', 'Marginal Zone Lymphoma', 'Mantle Cell Lymphoma', 'Diffuse Large B Cell Lymphoma', 'Central Nervous System Lymphoma']",INTERVENTIONAL,['PHASE2'],"[{'description': 'Radiopharmaceutical'}, {'description': 'Radiopharmaceutical'}, {'description': 'Radiopharmaceutical'}]","\[CLOVER-1\] Inclusion Criteria: All Patients

* Histologically or cytologically confirmed MM; Patients with primary or secondary CNSL may be enrolled.
* ECOG of 0 to 2
* 18 years of age or older
* Life expectancy of at least 6 months
* Platelets ≥ 75,000/µL (if full-dose anticoagulation therapy is used, platelets ≥ 100,000/µL are required)
* WBC count ≥ 3000/µL
* Absolute neutrophil count ≥ 1500/µL
* Hemoglobin ≥ 9 g/dL (last transfusion, if any, must be at least 1 week prior to study registration, and no transfusions are allowed between registration and dosing)
* Estimated glomerular filtration rate ≥ 30 mL/min/1.73 m2
* Aspartate aminotransferase (AST) and Alanine aminotransferase (ALT) ≤ 2.5 × upper limit of normal (ULN)
* Bilirubin \< 1.5 × ULN
* International normalized ratio (INR) \< 2.5
* If patient is on full-dose anticoagulation therapy, the anticoagulation therapy must be reversible and reversal of the anticoagulation therapy must not be life-threatening, as judged by the Investigator
* Patients who have undergone stem cell transplant must be at least 100 days from transplant

Patients with Multiple Myeloma

* At least 5 prior regimens, which must include at least 1 approved proteasome inhibitor (bortezomib, carfilzomib, or ixazomib), at least 1 approved immunomodulatory agent (thalidomide, lenalidomide, or pomalidomide), and at least 1 approved monoclonal antibody (e.g., daratumumab or elotuzumab) with or without maintenance therapy, unless patients are intolerable to such agents or ineligible to receive such agents.
* At least triple-class refractory (refractory to a proteasome inhibitor, immunomodulatory agent, and a monoclonal antibody)
* Progressive disease defined by any of the following:

  * 25% increase in serum M-protein from the lowest response value during (or after) last therapy and/or absolute increase in serum M-protein of ≥ 0.5 g/dL
  * 25% increase in urine M-protein from the lowest response value during (or after) last therapy and/or absolute increase in urine M-protein of ≥ 200 mg/24 h
  * 25% increase in bone marrow plasma cell percentage from the lowest response value during (or after) last therapy. Absolute bone marrow plasma cell percentage must be ≥ 10% unless prior CR when absolute bone marrow plasma cell percentage must be ≥ 5%.
  * 25% increase in serum FLC level from the lowest response value during (or after) last therapy; the absolute increase must be \> 10 mg/dL
  * New onset hypercalcemia \> 11.5 mg/dL
  * Failure to obtain a partial response or better to current treatment, or cannot further improve their response to current treatment
  * Appearance of new extramedullary disease
* Measurable disease defined by any of the following:

  * Serum M-protein \> 0.5 g/dL
  * Urine M-protein \> 200 mg/24 h
  * Serum FLC assay: Involved FLC level ≥ 10 mg/dL provided serum FLC ratio is abnormal.

\[CLOSED\] Patients with Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma, Lymphoplasmacytic Lymphoma/Waldenstom Macroglobulinemia, or Marginal Zone Lymphoma

* Prior treatment with at least 2 prior regimens, which may include chemotherapy, an approved anti-CD20 antibody with or without maintenance therapy, and an approved targeted agent, unless patients are ineligible to receive such agents
* Patients with Helicobacter pylori+ mucosa-associated lymphoid tissue lymphoma must have received 1 prior antibiotic regimen for H pylori
* At least 1 measurable nodal lesion with longest diameter \> 15 mm or 1 measurable extranodal lesion (eg, hepatic nodule) with longest diameter \> 10 mm. Additional parameters (e.g., measurable IgM for patients with Lymphoplasmacytic Lymphoma) may be allowed if they meet current NCCN guidelines for symptomatic disease. Patients with uptake by FDG-PET scan may be allowed with prior approval of Sponsor.

\[CLOSED\] Patients with Mantle Cell Lymphoma

* Prior treatment with at least 1 prior regimen
* At least 1 measurable nodal lesion with longest diameter \> 15 mm or 1 measurable extranodal lesion (eg, hepatic nodule) with longest diameter \> 10 mm. Patients with uptake by FDG-PET scan may be allowed with prior approval of Sponsor.

\[CLOSED\] Patients with Diffuse Large B-Cell Lymphoma

* Relapsed or refractory to combination chemotherapy for DLBCL that contains rituximab and an anthracycline; or is intolerable to such agents. Relapsed disease is defined as either recurrence of disease after a CR or PD after achieving a partial response (PR) or SD. Refractory disease is defined as failure to achieve at least SD with any 1 line of therapy or with PD ≤ 3 months of the most recent chemotherapy regimen.
* At least 1 measurable nodal lesion with longest diameter \> 15 mm or 1 measurable extranodal lesion (eg, hepatic nodule) with longest diameter \> 10 mm. Patients with uptake by FDG-PET scan may be allowed with prior approval of Sponsor.

Patients with CNS Lymphoma

* Must have biopsy-proven disease and must have received at least one prior intervention for their disease.
* Must be at least two weeks from CNS biopsy before administration of iopofosine I 131.
* Must have at least one lesion with enhancement on brain imaging.
* Stable (or decreasing) dose of corticosteroids or anti-convulsant medication for at least 7 days prior to dosing

\[CLOVER-1\] Exclusion Criteria:

* Ongoing Grade 2 or greater toxicities due to previous therapies. Stable, tolerable Grade 2 AEs (eg, neuropathy) may be allowed.
* Prior external-beam RT resulting in > 20% of total bone marrow receiving > 20 Gy.
* Prior total body or hemi-body irradiation. Patients who have received prior low-dose total body or hemi-body irradiation may be allowed on a case-by-case basis after discussion with Sponsor (considerations may include factors such as time since irradiation, total lifetime accumulated dose, etc.)
* Extradural tumor in contact with the spinal cord or tumor located where swelling in response to therapy may impinge upon the spinal cord
* For patients with CLL/SLL, LPL, or MZL, transformation to a more aggressive form of NHL
* Ongoing chronic immunosuppressive therapy
* Clinically significant bleeding event within prior 6 months
* Ongoing anti-platelet therapy (except low-dose aspirin \[eg, 81 mg daily\] for cardioprotection)
* Anti-cancer therapy within two weeks of initial iopofosine I 131 infusion. Low dose dexamethasone for symptom management is allowed
* Radiation therapy, chemotherapy, immunotherapy, or investigational therapy within 2 weeks of eligibility-defining bone marrow biopsy.
* For patients with primary or secondary CNSL, active bleeding in the tumor bed and/or uncontrolled seizure activity

\[CLOVER-WaM\] Inclusion Criteria

* Histologically or cytologically confirmed WM. Patients with a diagnosis of LPL may be enrolled with prior Sponsor approval.
* Patient has an ECOG of 0 to 2 (Appendix C)
* Patient is 18 years of age or older
* Life expectancy of at least 6 months
* Received at least two prior lines of therapy for WM
* Measurable IgM (above upper limit of normal) OR at least one measurable nodal lesion with longest diameter \> 15 mm or one measurable extranodal lesion (e.g., hepatic nodule) with longest diameter \> 10 mm

\[CLOVER-WaM\] Exclusion Criteria

* Ongoing Grade 2 or greater toxicities due to previous therapies, excluding alopecia.
* Prior external-beam RT resulting in > 20% of total bone marrow receiving > 20 Gy.
* Prior total body or hemi-body irradiation. Patients who have received prior low-dose total body or hemi-body irradiation may be allowed on a case-by-case basis after discussion with Sponsor (considerations may include factors such as time since irradiation, total lifetime accumulated dose, etc.)
* Patients with second malignancies in addition to WM, if the second malignancy has required therapy in the last 2 years or is not in remission; exceptions to this criterion include successfully treated non-metastatic basal cell or squamous cell skin carcinoma, or prostate cancer that does not require therapy
* Anti-cancer therapy within two weeks of initial iopofosine I 131 infusion.
* Need for acute treatment of WM (e.g., those with hyperviscosity)",Sim, , ,"[0, 1, 2]","['Fully active, able to carry on all pre-disease performance without restriction', 'Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office', 'Ambulatory and capable of all selfcare but unable to carry out any work activities. Up and about more than 50% of waking hours']",,[],[],[],,[],[],, ,[],tem Metastatic,,,,tem metastatic,,,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Linfoma
7,NCT05043090,"Savolitinib Plus Durvalumab Versus Sunitinib and Durvalumab Monotherapy in MET-Driven, Unresectable and Locally Advanced or Metastatic PRCC",['Papillary Renal Cell Carcinoma'],INTERVENTIONAL,['PHASE3'],"[{'description': 'Tablets : 3 × 200 mg tablets once daily'}, {'description': 'Concentrate for solution for IV infusion : 1500 mg durvalumab every 4 weeks'}, {'description': 'Capsules : 2 x 25mg capsules once daily 4 weeks on, 2 weeks off'}]","Inclusion Criteria:

* Histologically confirmed unresectable and locally advanced or metastatic PRCC
* PRCC must be centrally confirmed as MET-driven using a sponsor-designated central laboratory validated NGS assay
* No prior systemic anti-cancer treatment in the metastatic setting; no prior exposure to MET inhibitors, Durvalumab or Sunitinib in any setting
* KPS \>70
* At least one lesion, not previously irradiated, that can be accurately measured at baseline
* Adequate organ and bone marrow function
* Life expectancy ≥12weeks at Day 1

Exclusion Criteria:

* History of liver cirrhosis of any origin and clinical stage; or history of other serious liver disease or chronic disease with relevant liver involvement, with or without normal LFTs
* Spinal cord compression or brain metastases, unless asymptomatic and stable on treatment for at least 14 days prior to study intervention
* Active or prior cardiac disease (within past 6 months) or clinically significant ECG abnormalities and/or factors/medications that may affect QT and/or QTc intervals
* Active infection including HIV, TB, HBV and HCV
* Active or prior documented autoimmune or inflammatory disorders
* Receipt of live attenuated vaccine within 30 days prior to the first dose of study intervention", ,Sim, ,[],[],KPS \>70,"[80, 90, 100]","[1, 0, 0]","['Normal activity with effort; some signs or symptoms of disease', 'Able to carry on normal activity; minor signs or symptoms of disease', 'No complaints; no evidence of disease']",,[],[],,Sim,[],tem Metastatic,,tem locally advanced|locally-advanced,tem unresectable,tem metastatic,,tem metastases,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Carcinoma
8,NCT06129864,A Global Study of Volrustomig (MEDI5752) for Participants With Unresected Locally Advanced Head and Neck Squamous Cell Carcinoma Following Definitive Concurrent Chemoradiotherapy,['Locally Advanced Head and Neck Squamous Cell Carcinoma'],INTERVENTIONAL,['PHASE3'],[{'description': 'volrustomig'}],"Inclusion Criteria:

* Histologically or cytologically documented locally advanced squamous cell carcinoma of the oropharynx, hypopharynx, oral cavity, or larynx with no evidence of metastatic disease (i.e. M0).
* Confirmed unresected Stage III, Stage IVA or IVB according to the eighth edition of the American Joint Committee on Cancer (AJCC) staging manual (tumor, node, metastasis (TNM) staging system).
* Participants will have completed definitive concurrent chemoradiotherapy (cCRT) with curative intent within 12 weeks prior to randomization.

Exclusion Criteria:

* Histologically/cytologically confirmed head and neck cancer of any other primary anatomic location in the head and neck not specified in the inclusion criteria including participants with squamous cell carcinoma of unknown primary or non-squamous histologies (eg, nasopharynx or salivary gland). Participants with \>1 primary tumors are not eligible for the study.
* Participants with any of the following:

  1. Residual disease that needs further treatment with curative intent after definitive cCRT administration;
  2. LA-HNSCC that was resected before definitive cCRT
  3. LA-HNSCC that was treated and is recurrent at the time of screening
* Participants who have received radiotherapy (RT) alone as definitive local therapy for LA-HNSCC.
* Receipt of the last dose of anticancer therapy (chemotherapy and/or RT) \> 12 weeks (84 days) prior to randomization.", , , ,[],[],,[],[],[],,[],[],tem metastasis,Sim,"['III', 'IVA']",tem Metastatic,,tem locally advanced|locally-advanced,,tem metastatic,,,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Carcinoma
9,NCT05510921,Evaluation of the Minimalist Music and Birdsongs in the Anxiety of Nursing Professionals in Oncology,['Anxiety Disorders and Symptoms'],INTERVENTIONAL,['NA'],"[{'description': 'Participants in this group will listen individually a live session of minimalist music piano piece, in a break room in the oncology sector, lasting between 10 and 15 minutes.'}, {'description': 'Participants in this group will listen individually a live session of minimalist music piano piece with the superposition of bird song sounds, in a break room in the oncology sector, lasting between 10 and 15 minutes.'}]","Inclusion Criteria:

* Nursing professionals working in oncology Unit
* Over 18 years old

Exclusion Criteria:

* Nursing professionals who, for whatever reason, are unable to fully participate of the proposed musical intervention.", , , ,[],[],,[],[],[],,[],[],, ,[],,,,,,,,False,, ,,[],[], ,,,,,,,,,,,,,,,,,,,,,,Transtornos de ansiedade
